Frequency (GHz),Theta (°),Phi (°),Gain phi,Gain theta
0.02,19.9999994,279.999999,0.0322924852,0.907425702
0.02,19.9999994,284.999998,0.0714659169,0.872877002
0.02,19.9999994,289.999997,0.124565743,0.826048791
0.02,19.9999994,294.999996,0.189986899,0.768355548
0.02,19.9999994,299.999995,0.265750617,0.701542377
0.02,19.9999994,304.999994,0.349563241,0.62763083
0.02,19.9999994,309.999993,0.438885182,0.548860133
0.02,19.9999994,314.999992,0.531006873,0.467618912
0.02,19.9999994,319.999991,0.623130739,0.38637343
0.02,19.9999994,324.99999,0.712456405,0.307592511
0.02,19.9999994,329.999989,0.796265304,0.233673006
0.02,19.9999994,334.999988,0.872003973,0.166865796
0.02,19.9999994,339.999987,0.937362969,0.109207161
0.02,19.9999994,345.000013,0.990347445,0.062455602
0.02,19.9999994,350.000012,1.02933908,0.028038444
0.02,19.9999994,355.000011,1.05314577,0.00700609805
0.02,19.9999994,360.00001,1.06104016,4.75562643e-07
0.02,25.0000001,0,1.06084931,3.41303803e-07
0.02,25.0000001,4.99999985,1.05258453,0.00671674171
0.02,25.0000001,9.99999971,1.028404,0.0264723375
0.02,25.0000001,15.0000004,0.989049137,0.0586599857
0.02,25.0000001,19.9999994,0.935726225,0.102291845
0.02,25.0000001,25.0000001,0.870067835,0.156030446
0.02,25.0000001,30.0000008,0.79408294,0.218230546
0.02,25.0000001,34.9999998,0.710092962,0.286990494
0.02,25.0000001,39.9999988,0.620660305,0.360211253
0.02,25.0000001,45.0000013,0.52850914,0.435661525
0.02,25.0000001,50.0000003,0.436442107,0.511045694
0.02,25.0000001,54.9999993,0.347254038,0.58407408
0.02,25.0000001,60.0000017,0.26364851,0.652532458
0.02,25.0000001,65.0000007,0.188155577,0.714348257
0.02,25.0000001,69.9999997,0.123056427,0.767653108
0.02,25.0000001,74.9999987,0.0703156963,0.810837686
0.02,25.0000001,79.9999977,0.0315233171,0.842600048
0.02,25.0000001,84.9999967,0.00784773938,0.86198318
0.02,25.0000001,90.0000025,1.69738314e-06,0.868403256
0.02,25.0000001,95.0000015,0.00822134875,0.861667216
0.02,25.0000001,100.000001,0.0322593376,0.841977537
0.02,25.0000001,105,0.0713920891,0.809927583
0.02,25.0000001,109.999999,0.124440938,0.766482949
0.02,25.0000001,115.000004,0.189806759,0.712953508
0.02,25.0000001,120.000003,0.265516967,0.650955379
0.02,25.0000001,125.000002,0.349283606,0.582362413
0.02,25.0000001,130.000001,0.438572019,0.509251654
0.02,25.0000001,135,0.530675769,0.4338395
0.02,25.0000001,139.999999,0.622798741,0.358416617
0.02,25.0000001,144.999998,0.712139368,0.285277665
0.02,25.0000001,149.999997,0.795976162,0.216651753
0.02,25.0000001,154.999996,0.871751428,0.15463379
0.02,25.0000001,159.999995,0.93715024,0.101119906
0.02,25.0000001,164.999994,0.990171313,0.057748504
0.02,25.0000001,169.999993,1.02919149,0.0258492064
0.02,25.0000001,175.000006,1.05301476,0.00640104571
0.02,25.0000001,180.000005,1.06091022,1.92524112e-06
0.02,25.0000001,185.000004,1.05263638,0.00684943097
0.02,25.0000001,190.000003,1.02844632,0.0267348439
0.02,25.0000001,195.000002,0.989082217,0.0590496436
0.02,25.0000001,200.000001,0.935750961,0.102804676
0.02,25.0000001,205,0.870085478,0.156661198
0.02,25.0000001,209.999999,0.794094741,0.218972966
0.02,25.0000001,214.999998,0.710100353,0.287837327
0.02,25.0000001,219.999997,0.620664895,0.361154616
0.02,25.0000001,224.999996,0.528512299,0.436692625
0.02,25.0000001,230.000009,0.4364447,0.512155652
0.02,25.0000001,235.000008,0.347257376,0.585253417
0.02,25.0000001,240.000007,0.26365301,0.653771639
0.02,25.0000001,245.000006,0.188161343,0.715637684
0.02,25.0000001,250.000005,0.12306314,0.768983424
0.02,25.0000001,255.000004,0.07032267,0.812199473
0.02,25.0000001,260.000003,0.0315294713,0.84398365
0.02,25.0000001,265.000002,0.00785174035,0.863379359
0.02,25.0000001,270.000001,2.02551178e-06,0.869802952
0.02,25.0000001,275,0.00821640436,0.863061428
0.02,25.0000001,279.999999,0.032247588,0.843357265
0.02,25.0000001,284.999998,0.0713722035,0.811283827
0.02,25.0000001,289.999997,0.124411814,0.767806292
0.02,25.0000001,294.999996,0.189767674,0.714235067
0.02,25.0000001,299.999995,0.265467674,0.652185917
0.02,25.0000001,304.999994,0.349224389,0.58353287
0.02,25.0000001,309.999993,0.438503593,0.510352492
0.02,25.0000001,314.999992,0.530599415,0.434861928
0.02,25.0000001,319.999991,0.622715771,0.359351695
0.02,25.0000001,324.99999,0.712051928,0.286116987
0.02,25.0000001,329.999989,0.795886517,0.217387497
0.02,25.0000001,334.999988,0.871661544,0.15525876
0.02,25.0000001,339.999987,0.937062323,0.10162776
0.02,25.0000001,345.000013,0.990088165,0.0581337437
0.02,25.0000001,350.000012,1.02911448,0.0261079241
0.02,25.0000001,355.000011,1.05294514,0.00653041247
0.02,25.0000001,360.00001,1.06084931,3.41303803e-07
0.02,30.0000008,0,1.06062961,2.27064504e-07
0.02,30.0000008,4.99999985,1.05235851,0.00612042472
0.02,30.0000008,9.99999971,1.02815509,0.0241463687
0.02,30.0000008,15.0000004,0.988764405,0.0535217524
0.02,30.0000008,19.9999994,0.935397744,0.0933416113
0.02,30.0000008,25.0000001,0.869694591,0.142381236
0.02,30.0000008,30.0000008,0.793670177,0.199134842
0.02,30.0000008,34.9999998,0.709652543,0.261863291
0.02,30.0000008,39.9999988,0.620208919,0.328648329
0.02,30.0000008,45.0000013,0.528066576,0.397452384
0.02,30.0000008,50.0000003,0.436028689,0.466181129
0.02,30.0000008,54.9999993,0.346888602,0.532747626
0.02,30.0000008,60.0000017,0.263345361,0.59513545
0.02,30.0000008,65.0000007,0.187923104,0.651458621
0.02,30.0000008,69.9999997,0.122895882,0.700018585
0.02,30.0000008,74.9999987,0.0702206716,0.73935318
0.02,30.0000008,79.9999977,0.0314804055,0.768280149
0.02,30.0000008,84.9999967,0.007837818,0.78593111
0.02,30.0000008,90.0000025,1.97595341e-06,0.791776121
0.02,30.0000008,95.0000015,0.00820780639,0.785640299
0.02,30.0000008,100.000001,0.0322093181,0.767707646
0.02,30.0000008,105,0.0712867454,0.738516152
0.02,30.0000008,109.999999,0.124267258,0.698942125
0.02,30.0000008,115.000004,0.189558938,0.650175512
0.02,30.0000008,120.000003,0.265196651,0.593684554
0.02,30.0000008,125.000002,0.34890005,0.531172991
0.02,30.0000008,130.000001,0.438140213,0.464530587
0.02,30.0000008,135,0.530215204,0.395775914
