FFT Dimension (GHz),Re( Z ) (ohm),Im( Z ) (ohm)
0.00272256925,774.03833,-555.769348
0.0027320555,778.097168,-556.273132
0.00274154175,782.154541,-556.78363
0.002751028,786.191895,-557.331482
0.0027605145,790.347473,-557.87323
0.00277000075,794.559082,-558.398132
0.002779487,798.603638,-558.941895
0.00278897325,802.71521,-559.396301
0.0027984595,807.021423,-559.962158
0.002807946,811.101807,-560.536255
0.00281743225,815.153015,-561.057068
0.0028269185,819.265869,-561.645752
0.00283640475,823.437439,-562.12384
0.002845891,827.711853,-562.65741
0.0028553775,831.827393,-563.198181
0.00286486375,836.055359,-563.776245
0.00287435,840.190918,-564.350769
0.00288383625,844.30896,-564.975769
0.00289332275,848.658386,-565.497925
0.002902809,852.858276,-566.038574
0.00291229525,857.009644,-566.734436
0.0029217815,861.151428,-567.284424
0.00293126775,865.424622,-567.91095
0.00294075425,869.701233,-568.553589
0.0029502405,873.956177,-569.143982
0.00295972675,878.316467,-569.737427
0.002969213,882.601013,-570.397766
0.00297869925,886.630432,-571.090393
0.00298818575,890.90509,-571.71991
0.002997672,895.293274,-572.400696
0.00300715825,899.604187,-573.083801
0.0030166445,903.995117,-573.703308
0.003026131,908.167969,-574.453064
0.00303561725,912.595398,-575.032959
0.0030451035,916.900757,-575.793762
0.00305458975,921.089783,-576.592285
0.003064076,925.374634,-577.33551
0.0030735625,929.820679,-577.963074
0.00308304875,934.098877,-578.754761
0.003092535,938.573486,-579.509338
0.00310202125,942.80127,-580.28595
0.0031115075,947.371094,-581.067993
0.003120994,951.77832,-581.817993
0.00313048025,956.041504,-582.819946
0.0031399665,960.379028,-583.55603
0.00314945275,964.874695,-584.304199
0.00315893925,969.261719,-585.123108
0.0031684255,973.835876,-585.932556
0.00317791175,978.267944,-586.999573
0.003187398,982.552368,-587.760803
0.00319688425,987.098083,-588.618896
0.00320637075,991.63446,-589.514709
0.003215857,995.956055,-590.526733
0.00322534325,1000.68665,-591.507202
0.0032348295,1004.99866,-592.508789
0.003244316,1009.54352,-593.430115
0.00325380225,1014.0343,-594.370422
0.0032632885,1018.49139,-595.518311
0.00327277475,1023.05524,-596.378174
0.003282261,1027.79529,-597.483459
0.0032917475,1032.32983,-598.579834
0.00330123375,1036.77417,-599.487488
0.00331072,1041.19153,-600.703857
0.00332020625,1045.9895,-601.748962
0.0033296925,1050.68311,-602.903259
0.003339179,1055.3114,-604.002502
0.00334866525,1059.64136,-605.237793
0.0033581515,1064.44312,-606.350647
0.00336763775,1069.05249,-607.584412
0.00337712425,1073.70325,-608.765808
0.0033866105,1078.37952,-610.059143
0.00339609675,1083.09204,-611.282959
0.003405583,1087.64075,-612.568054
0.00341506925,1092.4032,-613.864746
0.00342455575,1097.00793,-615.092712
0.003434042,1101.78918,-616.493042
0.00344352825,1106.59216,-617.825928
0.0034530145,1111.13477,-619.458374
0.00346250075,1116.03601,-620.6828
0.00347198725,1120.72473,-621.93689
0.0034814735,1125.50476,-623.472168
0.00349095975,1130.23303,-625.127686
0.003500446,1135.23926,-626.598633
0.0035099325,1139.76514,-628.211853
0.00351941875,1144.65845,-629.718018
0.003528905,1149.35449,-631.128601
0.00353839125,1154.25427,-632.870911
0.0035478775,1159.0824,-634.374451
0.003557364,1163.95691,-636.075623
0.00356685025,1168.71021,-637.804626
0.0035763365,1173.71704,-639.567627
0.00358582275,1178.54187,-641.21283
0.003595309,1183.41479,-643.027466
0.0036047955,1188.23792,-644.92865
0.00361428175,1193.13965,-646.735046
0.003623768,1198.12708,-648.55011
0.00363325425,1203.12024,-650.420715
0.00364274075,1208.13074,-652.22229
0.003652227,1213.04456,-654.209045
0.00366171325,1217.98975,-656.26062
0.0036711995,1222.76794,-658.462463
0.00368068575,1227.91248,-660.414001
0.00369017225,1232.80701,-662.511169
0.0036996585,1237.95374,-664.50415
0.00370914475,1242.87512,-666.58075
0.003718631,1248.00183,-668.888184
0.00372811725,1252.87561,-671.247009
0.00373760375,1258.04956,-673.494141
0.00374709,1263.04724,-675.682495
0.00375657625,1268.33423,-677.921997
0.0037660625,1273.3385,-680.195984
0.003775549,1278.2959,-682.612305
0.00378503525,1283.44287,-685.185547
0.0037945215,1288.41785,-687.61499
0.00380400775,1293.50391,-690.240173
0.003813494,1298.74377,-692.861633
0.0038229805,1303.93591,-695.228394
0.00383246675,1308.70984,-697.895752
0.003841953,1314.13599,-700.566772
0.00385143925,1319.29822,-703.32312
0.0038609255,1324.37476,-706.089294
0.003870412,1329.32202,-709.041626
0.00387989825,1334.80408,-711.743652
0.0038893845,1339.98157,-714.535095
0.00389887075,1344.86194,-717.569275
0.00390835725,1350.10156,-720.730225
0.0039178435,1355.33411,-723.610474
0.00392732975,1360.77356,-726.560913
0.003936816,1365.89795,-729.812378
0.00394630225,1371.03027,-733.005432
0.00395578875,1376.45691,-736.171692
0.003965275,1381.70679,-739.454224
0.00397476125,1386.84766,-742.86676
0.0039842475,1391.97473,-746.316284
0.00399373375,1397.43494,-749.464783
0.00400322025,1402.72119,-752.952271
0.0040127065,1407.72522,-756.576416
0.00402219275,1412.87744,-760.131165
0.004031679,1418.23315,-763.790771
0.0040411655,1423.49988,-767.479858
0.00405065175,1428.87915,-771.122009
0.004060138,1434.20679,-774.828369
0.00406962425,1439.21423,-778.788818
0.0040791105,1444.59204,-782.761597
0.004088597,1449.88403,-786.661255
0.00409808325,1455.04724,-790.748108
0.0041075695,1460.58313,-794.584656
0.00411705575,1465.77161,-798.853088
0.004126542,1470.95728,-803.280396
0.0041360285,1476.15857,-807.420654
0.00414551475,1481.62146,-811.672852
0.004155001,1486.70483,-816.002014
0.00416448725,1492.05347,-820.542542
0.00417397375,1497.17969,-824.929688
0.00418346,1502.60803,-829.632385
0.00419294625,1507.83655,-834.347473
0.0042024325,1512.99353,-839.006714
0.004211919,1518.50781,-843.629456
0.004221405,1523.46228,-848.527649
0.0042308915,1528.61646,-853.415771
0.004240378,1534.14832,-858.421326
0.004249864,1539.19141,-863.402039
0.0042593505,1544.39111,-868.603516
0.0042688365,1549.70178,-873.730957
0.004278323,1554.8418,-878.987854
0.0042878095,1560.02222,-884.413147
0.0042972955,1564.77429,-889.796265
0.004306782,1569.98926,-895.276062
0.004316268,1575.31006,-900.900024
0.0043257545,1580.50366,-906.335876
0.004335241,1585.40759,-912.232483
0.004344727,1590.46741,-917.818848
0.0043542135,1595.59302,-923.718689
0.0043636995,1600.33215,-929.639343
0.004373186,1605.57349,-935.750244
0.0043826725,1610.73389,-941.760498
0.0043921585,1615.42615,-947.908081
0.004401645,1620.28809,-954.26355
0.004411131,1625.18945,-960.49884
0.0044206175,1630.453,-966.963989
0.004430104,1635.04114,-973.43689
0.00443959,1639.93738,-980.002686
0.0044490765,1644.50061,-986.747681
0.004458563,1649.18945,-993.351746
0.004468049,1654.06042,-1000.25061
0.0044775355,1658.79248,-1007.15656
0.0044870215,1663.76672,-1014.1377
0.004496508,1668.06531,-1021.37512
0.0045059945,1672.71472,-1028.51929
0.0045154805,1677.26233,-1035.86609
0.004524967,1681.54248,-1043.25781
0.004534453,1686.08936,-1050.58972
0.0045439395,1690.91858,-1058.06311
0.004553426,1694.9856,-1065.85339
0.004562912,1699.12695,-1073.41882
0.0045723985,1703.60449,-1081.28357
0.0045818845,1707.86633,-1089.07556
0.004591371,1711.86243,-1097.06726
0.0046008575,1715.79834,-1105.12463
0.0046103435,1719.97168,-1113.33459
0.00461983,1724.1322,-1121.42322
0.004629316,1727.82678,-1129.97986
0.0046388025,1731.83923,-1138.28845
0.004648289,1735.60657,-1146.88135
0.004657775,1739.51611,-1155.42883
0.0046672615,1743.20825,-1164.07959
0.0046767475,1746.75366,-1172.97278
0.004686234,1750.35596,-1181.94434
0.0046957205,1753.78052,-1190.94568
0.0047052065,1757.17224,-1200.0166
0.004714693,1760.62646,-1208.93701
0.0047241795,1763.48499,-1218.48889
0.0047336655,1766.76477,-1227.77917
0.004743152,1769.81348,-1237.24146
0.004752638,1772.45581,-1246.77869
0.0047621245,1775.8573,-1256.25208
0.004771611,1778.83484,-1266.05554
0.004781097,1781.46094,-1275.85828
0.0047905835,1784.03845,-1285.71533
0.0048000695,1786.28113,-1295.69763
0.004809556,1788.67566,-1305.8667
0.0048190425,1791.51343,-1315.97668
0.0048285285,1793.51099,-1326.18286
0.004838015,1795.77368,-1336.51599
0.004847501,1797.53357,-1346.88269
0.0048569875,1799.66077,-1357.44165
0.004866474,1801.22083,-1368.1908
0.00487596,1803.05005,-1378.98352
0.0048854465,1804.38477,-1389.56262
0.0048949325,1806.19556,-1400.60925
0.004904419,1806.95886,-1411.26538
0.0049139055,1808.13794,-1422.52942
0.0049233915,1809.7832,-1433.44055
0.004932878,1810.30359,-1444.56079
0.004942364,1811.3335,-1455.75293
0.0049518505,1811.82874,-1467.08167
0.004961337,1812.06531,-1478.37183
0.004970823,1812.53662,-1489.89014
0.0049803095,1813.13672,-1501.41016
0.004989796,1812.88428,-1513.05542
0.004999282,1813.09387,-1524.5083
0.0050087685,1812.77551,-1536.31812
0.0050182545,1812.40161,-1548.10205
0.005027741,1811.99744,-1559.9281
0.0050372275,1811.25317,-1571.79834
0.0050467135,1810.56543,-1583.5564
0.0050562,1809.66199,-1595.61487
0.005065686,1808.39441,-1607.86877
0.0050751725,1807.18848,-1619.94568
0.005084659,1805.5603,-1631.8772
0.005094145,1804.17175,-1643.80627
0.0051036315,1802.15076,-1655.99951
0.0051131175,1800.25305,-1668.46252
0.005122604,1798.23242,-1680.66638
0.0051320905,1795.95984,-1692.90845
0.0051415765,1793.44104,-1705.32312
0.005151063,1790.97559,-1717.70422
0.005160549,1787.88831,-1729.97412
0.0051700355,1784.69885,-1742.30359
0.005179522,1781.69727,-1754.54602
0.005189008,1777.80237,-1767.04504
0.0051984945,1774.69153,-1779.46985
0.0052079805,1770.92896,-1791.64587
0.005217467,1766.97778,-1804.22717
0.0052269535,1762.82581,-1816.56079
0.0052364395,1758.18884,-1829.01599
0.005245926,1754.0686,-1841.50818
0.0052554125,1748.79419,-1853.63074
0.0052648985,1744.01025,-1866.09326
0.005274385,1738.8562,-1878.27344
0.005283871,1733.68616,-1890.63831
0.0052933575,1728.11182,-1902.89148
0.005302844,1722.38708,-1915.08533
0.00531233,1716.58179,-1927.14673
0.0053218165,1710.41882,-1939.16895
